01:15:16,308 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 141 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/44>
01:15:16,309 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 144 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/45>
01:15:16,310 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 147 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/46>
01:15:16,311 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 150 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/47>
01:15:16,312 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 153 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/48>
01:15:16,312 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 156 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/49>
01:15:16,313 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 159 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/50>
01:15:16,314 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 162 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/51>
01:15:16,315 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 165 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/52>
01:15:16,315 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 168 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/53>
01:15:16,316 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 171 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/54>
01:15:16,317 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 174 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/55>
01:15:16,318 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 177 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/56>
01:15:16,319 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 180 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/57>
01:15:16,320 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 183 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/58>
01:15:16,321 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 186 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/59>
01:15:16,321 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 189 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/60>
01:15:16,322 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 192 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/61>
01:15:16,323 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 195 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/62>
01:15:16,324 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 198 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/63>
01:15:16,325 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 201 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/64>
01:15:16,326 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 204 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/65>
01:15:16,326 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 207 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/66>
01:15:16,327 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 210 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/67>
01:15:16,328 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 213 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/68>
01:15:16,329 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 216 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/69>
01:15:16,329 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 219 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/70>
01:15:16,330 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 222 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/71>
01:15:16,330 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 225 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/72>
